index,f2,f3,f4,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tp_total,temper,alter#
1,4,16,56,9.108E-12,8.097E-12,8.602E-12,7.001E-12,6.596E-12,6.799E-12,6.425E-12,6.092E-12,6.258E-12,7.692E-12,7.049E-12,7.371E-12,2.903E-11,25,1
2,4,16,58,9.108E-12,8.114E-12,8.611E-12,6.996E-12,6.595E-12,6.795E-12,6.554E-12,6.213E-12,6.384E-12,7.58E-12,6.965E-12,7.272E-12,2.906E-11,25,1
3,4,16,60,9.124E-12,8.114E-12,8.619E-12,6.989E-12,6.587E-12,6.788E-12,6.673E-12,6.333E-12,6.503E-12,7.465E-12,6.886E-12,7.176E-12,2.909E-11,25,1
4,4,16,62,9.107E-12,8.119E-12,8.613E-12,6.983E-12,6.592E-12,6.787E-12,6.811E-12,6.455E-12,6.633E-12,7.368E-12,6.808E-12,7.088E-12,2.912E-11,25,1
5,4,16,64,9.125E-12,8.113E-12,8.619E-12,6.987E-12,6.585E-12,6.786E-12,6.93E-12,6.573E-12,6.752E-12,7.279E-12,6.74E-12,7.009E-12,2.917E-11,25,1
6,4,16,66,9.125E-12,8.097E-12,8.611E-12,6.99E-12,6.583E-12,6.787E-12,7.06E-12,6.692E-12,6.876E-12,7.201E-12,6.675E-12,6.938E-12,2.921E-11,25,1
7,4,16,68,9.123E-12,8.118E-12,8.621E-12,6.977E-12,6.582E-12,6.779E-12,7.192E-12,6.811E-12,7.001E-12,7.125E-12,6.615E-12,6.87E-12,2.927E-11,25,1
8,4,16,70,9.125E-12,8.117E-12,8.621E-12,6.98E-12,6.58E-12,6.78E-12,7.317E-12,6.927E-12,7.122E-12,7.05E-12,6.561E-12,6.806E-12,2.933E-11,25,1
9,4,15,56,9.129E-12,8.101E-12,8.615E-12,6.746E-12,6.353E-12,6.55E-12,6.557E-12,6.207E-12,6.382E-12,7.782E-12,7.152E-12,7.467E-12,2.901E-11,25,1
10,4,15,58,9.115E-12,8.1E-12,8.608E-12,6.744E-12,6.356E-12,6.55E-12,6.692E-12,6.334E-12,6.513E-12,7.655E-12,7.065E-12,7.36E-12,2.903E-11,25,1
11,4,15,60,9.114E-12,8.1E-12,8.607E-12,6.741E-12,6.355E-12,6.548E-12,6.828E-12,6.459E-12,6.644E-12,7.556E-12,6.985E-12,7.271E-12,2.907E-11,25,1
12,4,15,62,9.114E-12,8.119E-12,8.616E-12,6.735E-12,6.354E-12,6.544E-12,6.964E-12,6.585E-12,6.775E-12,7.462E-12,6.911E-12,7.187E-12,2.912E-11,25,1
13,4,15,64,9.131E-12,8.117E-12,8.624E-12,6.736E-12,6.348E-12,6.542E-12,7.093E-12,6.709E-12,6.901E-12,7.378E-12,6.844E-12,7.111E-12,2.918E-11,25,1
14,4,15,66,9.115E-12,8.117E-12,8.616E-12,6.726E-12,6.348E-12,6.537E-12,7.238E-12,6.833E-12,7.036E-12,7.299E-12,6.784E-12,7.041E-12,2.923E-11,25,1
