index,f2,f3,f4,f5,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tplh5,tphl5,tp5,tp_total,temper,alter#
1,3,9,27,80,7.881E-12,6.94E-12,7.41E-12,5.665E-12,5.336E-12,5.501E-12,5.436E-12,5.16E-12,5.298E-12,5.402E-12,5.124E-12,5.263E-12,5.845E-12,5.44E-12,5.642E-12,2.911E-11,25,1
2,3,9,27,84,7.88E-12,6.935E-12,7.408E-12,5.669E-12,5.337E-12,5.503E-12,5.434E-12,5.158E-12,5.296E-12,5.556E-12,5.267E-12,5.411E-12,5.738E-12,5.362E-12,5.55E-12,2.917E-11,25,1
3,3,9,27,88,7.885E-12,6.939E-12,7.412E-12,5.669E-12,5.335E-12,5.502E-12,5.432E-12,5.157E-12,5.295E-12,5.709E-12,5.407E-12,5.558E-12,5.647E-12,5.285E-12,5.466E-12,2.923E-11,25,1
4,3,9,25,80,7.882E-12,6.939E-12,7.411E-12,5.67E-12,5.338E-12,5.504E-12,5.206E-12,4.946E-12,5.076E-12,5.547E-12,5.25E-12,5.398E-12,5.932E-12,5.535E-12,5.734E-12,2.912E-11,25,1
5,3,9,25,84,7.879E-12,6.94E-12,7.41E-12,5.669E-12,5.339E-12,5.504E-12,5.205E-12,4.945E-12,5.075E-12,5.71E-12,5.399E-12,5.554E-12,5.824E-12,5.455E-12,5.64E-12,2.918E-11,25,1
6,3,9,25,88,7.89E-12,6.936E-12,7.413E-12,5.67E-12,5.338E-12,5.504E-12,5.205E-12,4.944E-12,5.075E-12,5.872E-12,5.546E-12,5.709E-12,5.737E-12,5.384E-12,5.561E-12,2.926E-11,25,1
7,3,9,29,80,7.885E-12,6.929E-12,7.407E-12,5.655E-12,5.337E-12,5.496E-12,5.664E-12,5.372E-12,5.518E-12,5.278E-12,5.022E-12,5.15E-12,5.771E-12,5.359E-12,5.565E-12,2.914E-11,25,1
8,3,9,29,84,7.882E-12,6.935E-12,7.409E-12,5.664E-12,5.334E-12,5.499E-12,5.663E-12,5.369E-12,5.516E-12,5.424E-12,5.156E-12,5.29E-12,5.677E-12,5.273E-12,5.475E-12,2.919E-11,25,1
9,3,9,29,88,7.881E-12,6.934E-12,7.408E-12,5.666E-12,5.334E-12,5.5E-12,5.66E-12,5.367E-12,5.513E-12,5.568E-12,5.292E-12,5.43E-12,5.57E-12,5.198E-12,5.384E-12,2.923E-11,25,1
10,3,7,27,80,7.902E-12,6.953E-12,7.428E-12,4.98E-12,4.687E-12,4.834E-12,6.02E-12,5.633E-12,5.827E-12,5.691E-12,5.453E-12,5.572E-12,5.913E-12,5.482E-12,5.697E-12,2.936E-11,25,1
11,3,7,27,84,7.902E-12,6.948E-12,7.425E-12,4.984E-12,4.686E-12,4.835E-12,6.014E-12,5.632E-12,5.823E-12,5.85E-12,5.602E-12,5.726E-12,5.81E-12,5.399E-12,5.604E-12,2.941E-11,25,1
12,3,7,27,88,7.907E-12,6.948E-12,7.427E-12,4.984E-12,4.687E-12,4.835E-12,6.013E-12,5.63E-12,5.822E-12,6.007E-12,5.748E-12,5.878E-12,5.72E-12,5.326E-12,5.523E-12,2.948E-11,25,1
13,3,7,25,80,7.903E-12,6.949E-12,7.426E-12,4.985E-12,4.688E-12,4.836E-12,5.732E-12,5.378E-12,5.555E-12,5.828E-12,5.567E-12,5.697E-12,5.983E-12,5.577E-12,5.78E-12,2.929E-11,25,1
14,3,7,25,84,7.897E-12,6.95E-12,7.423E-12,4.984E-12,4.693E-12,4.838E-12,5.73E-12,5.376E-12,5.553E-12,5.992E-12,5.722E-12,5.857E-12,5.89E-12,5.491E-12,5.691E-12,2.936E-11,25,1
15,3,7,25,88,7.905E-12,6.949E-12,7.427E-12,4.985E-12,4.69E-12,4.837E-12,5.728E-12,5.375E-12,5.551E-12,6.157E-12,5.875E-12,6.016E-12,5.805E-12,5.421E-12,5.613E-12,2.944E-11,25,1
16,3,7,29,80,7.902E-12,6.948E-12,7.425E-12,4.982E-12,4.686E-12,4.834E-12,6.304E-12,5.889E-12,6.097E-12,5.59E-12,5.362E-12,5.476E-12,5.861E-12,5.403E-12,5.632E-12,2.946E-11,25,1
17,3,7,29,84,7.902E-12,6.949E-12,7.426E-12,4.981E-12,4.686E-12,4.833E-12,6.302E-12,5.887E-12,6.094E-12,5.739E-12,5.501E-12,5.62E-12,5.744E-12,5.32E-12,5.532E-12,2.951E-11,25,1
18,3,7,29,88,7.906E-12,6.949E-12,7.427E-12,4.981E-12,4.69E-12,4.836E-12,6.296E-12,5.885E-12,6.09E-12,5.887E-12,5.641E-12,5.764E-12,5.652E-12,5.244E-12,5.448E-12,2.957E-11,25,1
19,3,11,27,80,7.866E-12,6.929E-12,7.398E-12,6.346E-12,5.965E-12,6.156E-12,5.133E-12,4.888E-12,5.011E-12,5.234E-12,4.92E-12,5.077E-12,5.805E-12,5.415E-12,5.61E-12,2.925E-11,25,1
20,3,11,27,84,7.862E-12,6.907E-12,7.385E-12,6.354E-12,5.966E-12,6.16E-12,5.13E-12,4.89E-12,5.01E-12,5.379E-12,5.055E-12,5.217E-12,5.7E-12,5.335E-12,5.518E-12,2.929E-11,25,1
21,3,11,27,88,7.869E-12,6.925E-12,7.397E-12,6.348E-12,5.964E-12,6.156E-12,5.129E-12,4.89E-12,5.009E-12,5.533E-12,5.191E-12,5.362E-12,5.605E-12,5.264E-12,5.435E-12,2.936E-11,25,1
22,3,11,25,80,7.867E-12,6.926E-12,7.396E-12,6.355E-12,5.969E-12,6.162E-12,4.936E-12,4.702E-12,4.819E-12,5.394E-12,5.054E-12,5.224E-12,5.892E-12,5.512E-12,5.702E-12,2.93E-11,25,1
23,3,11,25,84,7.859E-12,6.929E-12,7.394E-12,6.347E-12,5.969E-12,6.158E-12,4.935E-12,4.7E-12,4.817E-12,5.554E-12,5.198E-12,5.376E-12,5.788E-12,5.435E-12,5.611E-12,2.936E-11,25,1
24,3,11,25,88,7.873E-12,6.929E-12,7.401E-12,6.353E-12,5.969E-12,6.161E-12,4.934E-12,4.702E-12,4.818E-12,5.713E-12,5.343E-12,5.528E-12,5.701E-12,5.362E-12,5.531E-12,2.944E-11,25,1
25,3,11,29,80,7.864E-12,6.926E-12,7.395E-12,6.344E-12,5.961E-12,6.153E-12,5.329E-12,5.077E-12,5.203E-12,5.103E-12,4.811E-12,4.957E-12,5.727E-12,5.329E-12,5.528E-12,2.924E-11,25,1
