index,sn_2,sp_2,sn_3,sp_3,sn_4,sp_4,tplh,tphl,tp,temper,alter#
1,5.0,2.0,3.0,6.0,14.0,14.0,3.067e-11,2.885e-11,2.976e-11,25.0,1
2,5.0,2.0,3.0,6.0,17.0,17.0,3.178e-11,2.993e-11,3.085e-11,25.0,1
3,5.0,2.0,3.0,6.0,20.0,20.0,3.287e-11,3.098e-11,3.192e-11,25.0,1
4,5.0,2.0,5.0,10.0,14.0,14.0,3.071e-11,2.833e-11,2.952e-11,25.0,1
5,5.0,2.0,5.0,10.0,17.0,17.0,3.14e-11,2.901e-11,3.02e-11,25.0,1
6,5.0,2.0,5.0,10.0,20.0,20.0,3.21e-11,2.968e-11,3.089e-11,25.0,1
7,5.0,2.0,7.0,14.0,14.0,14.0,3.184e-11,2.878e-11,3.031e-11,25.0,1
8,5.0,2.0,7.0,14.0,17.0,17.0,3.237e-11,2.929e-11,3.083e-11,25.0,1
9,5.0,2.0,7.0,14.0,20.0,20.0,3.29e-11,2.979e-11,3.135e-11,25.0,1
10,6.0,2.0,3.0,6.0,14.0,14.0,3.234e-11,2.921e-11,3.078e-11,25.0,1
11,6.0,2.0,3.0,6.0,17.0,17.0,3.345e-11,3.028e-11,3.186e-11,25.0,1
12,6.0,2.0,3.0,6.0,20.0,20.0,3.455e-11,3.135e-11,3.295e-11,25.0,1
13,6.0,2.0,5.0,10.0,14.0,14.0,3.236e-11,2.853e-11,3.045e-11,25.0,1
14,6.0,2.0,5.0,10.0,17.0,17.0,3.307e-11,2.921e-11,3.114e-11,25.0,1
15,6.0,2.0,5.0,10.0,20.0,20.0,3.376e-11,2.986e-11,3.181e-11,25.0,1
16,6.0,2.0,7.0,14.0,14.0,14.0,3.351e-11,2.884e-11,3.118e-11,25.0,1
17,6.0,2.0,7.0,14.0,17.0,17.0,3.405e-11,2.935e-11,3.17e-11,25.0,1
18,6.0,2.0,7.0,14.0,20.0,20.0,3.457e-11,2.983e-11,3.22e-11,25.0,1
19,7.0,2.0,3.0,6.0,14.0,14.0,3.393e-11,2.966e-11,3.18e-11,25.0,1
20,7.0,2.0,3.0,6.0,17.0,17.0,3.505e-11,3.073e-11,3.289e-11,25.0,1
21,7.0,2.0,3.0,6.0,20.0,20.0,3.615e-11,3.179e-11,3.397e-11,25.0,1
22,7.0,2.0,5.0,10.0,14.0,14.0,3.395e-11,2.888e-11,3.141e-11,25.0,1
23,7.0,2.0,5.0,10.0,17.0,17.0,3.466e-11,2.953e-11,3.209e-11,25.0,1
24,7.0,2.0,5.0,10.0,20.0,20.0,3.535e-11,3.018e-11,3.276e-11,25.0,1
25,7.0,2.0,7.0,14.0,14.0,14.0,3.51e-11,2.909e-11,3.209e-11,25.0,1
26,7.0,2.0,7.0,14.0,17.0,17.0,3.564e-11,2.956e-11,3.26e-11,25.0,1
27,7.0,2.0,7.0,14.0,20.0,20.0,3.615e-11,3.005e-11,3.31e-11,25.0,1
