index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
1,1.0,1.0,3.0,18.0,-9.596e-10,1.038e-09,3.914e-11,25.0,1
2,1.0,1.0,3.0,21.0,-9.594999999999998e-10,1.038e-09,3.9439999999999995e-11,25.0,1
3,1.0,1.0,3.0,24.0,-9.591000000000001e-10,1.039e-09,3.995e-11,25.0,1
4,1.0,1.0,3.0,27.0,-9.585e-10,1.04e-09,4.0630000000000006e-11,25.0,1
5,1.0,1.0,3.0,30.0,-9.578e-10,1.041e-09,4.1380000000000003e-11,25.0,1
6,1.0,1.0,3.0,33.0,-9.57e-10,1.041e-09,4.221e-11,25.0,1
7,1.0,1.0,3.0,36.0,-9.562e-10,1.042e-09,4.309e-11,25.0,1
8,1.0,1.0,4.0,18.0,-9.593e-10,1.037e-09,3.892e-11,25.0,1
9,1.0,1.0,4.0,21.0,-9.594e-10,1.037e-09,3.8950000000000005e-11,25.0,1
10,1.0,1.0,4.0,24.0,-9.592e-10,1.038e-09,3.922e-11,25.0,1
11,1.0,1.0,4.0,27.0,-9.587999999999998e-10,1.038e-09,3.964e-11,25.0,1
12,1.0,1.0,4.0,30.0,-9.582999999999999e-10,1.039e-09,4.014e-11,25.0,1
13,1.0,1.0,4.0,33.0,-9.578e-10,1.039e-09,4.0700000000000006e-11,25.0,1
14,1.0,1.0,4.0,36.0,-9.572e-10,1.04e-09,4.134e-11,25.0,1
15,1.0,1.0,5.0,18.0,-9.582e-10,1.037e-09,3.9439999999999995e-11,25.0,1
16,1.0,1.0,5.0,21.0,-9.585e-10,1.037e-09,3.9310000000000004e-11,25.0,1
17,1.0,1.0,5.0,24.0,-9.584e-10,1.037e-09,3.941e-11,25.0,1
18,1.0,1.0,5.0,27.0,-9.582e-10,1.038e-09,3.968e-11,25.0,1
19,1.0,1.0,5.0,30.0,-9.579e-10,1.038e-09,4.003e-11,25.0,1
20,1.0,1.0,5.0,33.0,-9.573999999999998e-10,1.038e-09,4.046e-11,25.0,1
21,1.0,1.0,5.0,36.0,-9.57e-10,1.039e-09,4.093e-11,25.0,1
22,1.0,1.0,6.0,18.0,-9.568e-10,1.037e-09,4.0330000000000004e-11,25.0,1
23,1.0,1.0,6.0,21.0,-9.572e-10,1.037e-09,4.0070000000000004e-11,25.0,1
24,1.0,1.0,6.0,24.0,-9.572e-10,1.037e-09,4.009000000000001e-11,25.0,1
25,1.0,1.0,6.0,27.0,-9.571e-10,1.038e-09,4.0249999999999997e-11,25.0,1
26,1.0,1.0,6.0,30.0,-9.568999999999999e-10,1.038e-09,4.051e-11,25.0,1
27,1.0,1.0,6.0,33.0,-9.565e-10,1.038e-09,4.084e-11,25.0,1
28,1.0,1.0,6.0,36.0,-9.562e-10,1.039e-09,4.121e-11,25.0,1
29,1.0,1.0,7.0,18.0,-9.551e-10,1.038e-09,4.144e-11,25.0,1
30,1.0,1.0,7.0,21.0,-9.556e-10,1.038e-09,4.111e-11,25.0,1
31,1.0,1.0,7.0,24.0,-9.558e-10,1.038e-09,4.103e-11,25.0,1
32,1.0,1.0,7.0,27.0,-9.557000000000001e-10,1.038e-09,4.1119999999999996e-11,25.0,1
33,1.0,1.0,7.0,30.0,-9.555e-10,1.038e-09,4.1310000000000004e-11,25.0,1
34,1.0,1.0,7.0,33.0,-9.553e-10,1.038e-09,4.1559999999999997e-11,25.0,1
