index,xnand2_size,xnor2_size,buffer_0_size,tplh,tphl,tp,temper,alter#
1,2.0,3.0,14.0,3.614e-11,4.618e-11,4.116e-11,25.0,1
2,2.0,3.0,16.0,3.564e-11,4.665e-11,4.115e-11,25.0,1
3,2.0,3.0,18.0,3.544e-11,4.732e-11,4.138e-11,25.0,1
4,2.0,3.0,20.0,3.544e-11,4.812e-11,4.178e-11,25.0,1
5,2.0,3.0,22.0,3.562e-11,4.899e-11,4.23e-11,25.0,1
6,2.0,4.0,14.0,3.636e-11,4.631e-11,4.134e-11,25.0,1
7,2.0,4.0,16.0,3.568e-11,4.65e-11,4.109e-11,25.0,1
8,2.0,4.0,18.0,3.533e-11,4.69e-11,4.112e-11,25.0,1
9,2.0,4.0,20.0,3.518e-11,4.74e-11,4.129e-11,25.0,1
10,2.0,4.0,22.0,3.521e-11,4.8e-11,4.16e-11,25.0,1
11,2.0,5.0,14.0,3.708e-11,4.749e-11,4.228e-11,25.0,1
12,2.0,5.0,16.0,3.629e-11,4.753e-11,4.191e-11,25.0,1
13,2.0,5.0,18.0,3.582e-11,4.772e-11,4.177e-11,25.0,1
14,2.0,5.0,20.0,3.562e-11,4.808e-11,4.185e-11,25.0,1
15,2.0,5.0,22.0,3.556e-11,4.846e-11,4.201e-11,25.0,1
16,3.0,3.0,14.0,3.707e-11,4.652e-11,4.18e-11,25.0,1
17,3.0,3.0,16.0,3.651e-11,4.697e-11,4.174e-11,25.0,1
18,3.0,3.0,18.0,3.628e-11,4.762e-11,4.195e-11,25.0,1
19,3.0,3.0,20.0,3.627e-11,4.839e-11,4.233e-11,25.0,1
20,3.0,3.0,22.0,3.64e-11,4.924e-11,4.282e-11,25.0,1
21,3.0,4.0,14.0,3.673e-11,4.562e-11,4.117e-11,25.0,1
22,3.0,4.0,16.0,3.6e-11,4.577e-11,4.088e-11,25.0,1
23,3.0,4.0,18.0,3.559e-11,4.613e-11,4.086e-11,25.0,1
24,3.0,4.0,20.0,3.543e-11,4.658e-11,4.101e-11,25.0,1
25,3.0,4.0,22.0,3.54e-11,4.715e-11,4.127e-11,25.0,1
26,3.0,5.0,14.0,3.693e-11,4.581e-11,4.137e-11,25.0,1
27,3.0,5.0,16.0,3.613e-11,4.577e-11,4.095e-11,25.0,1
28,3.0,5.0,18.0,3.561e-11,4.595e-11,4.078e-11,25.0,1
29,3.0,5.0,20.0,3.534e-11,4.626e-11,4.08e-11,25.0,1
30,3.0,5.0,22.0,3.523e-11,4.662e-11,4.092e-11,25.0,1
31,4.0,3.0,14.0,3.909e-11,4.844e-11,4.377e-11,25.0,1
32,4.0,3.0,16.0,3.854e-11,4.889e-11,4.372e-11,25.0,1
33,4.0,3.0,18.0,3.829e-11,4.952e-11,4.391e-11,25.0,1
34,4.0,3.0,20.0,3.827e-11,5.03e-11,4.429e-11,25.0,1
35,4.0,3.0,22.0,3.84e-11,5.115e-11,4.477e-11,25.0,1
36,4.0,4.0,14.0,3.839e-11,4.705e-11,4.272e-11,25.0,1
37,4.0,4.0,16.0,3.765e-11,4.718e-11,4.242e-11,25.0,1
38,4.0,4.0,18.0,3.722e-11,4.752e-11,4.237e-11,25.0,1
39,4.0,4.0,20.0,3.703e-11,4.797e-11,4.25e-11,25.0,1
40,4.0,4.0,22.0,3.7e-11,4.851e-11,4.276e-11,25.0,1
41,4.0,5.0,14.0,3.83e-11,4.674e-11,4.252e-11,25.0,1
42,4.0,5.0,16.0,3.746e-11,4.671e-11,4.208e-11,25.0,1
43,4.0,5.0,18.0,3.693e-11,4.686e-11,4.189e-11,25.0,1
44,4.0,5.0,20.0,3.664e-11,4.712e-11,4.188e-11,25.0,1
45,4.0,5.0,22.0,3.651e-11,4.748e-11,4.2e-11,25.0,1
