index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,tplh,tphl,tp,temper,alter#
1,2.0,1.0,1.0,2.0,4.0,4.0,23.0,23.0,3.677e-11,3.852e-11,3.764e-11,25.0,1
2,2.0,1.0,1.0,2.0,4.0,4.0,25.0,25.0,3.69e-11,3.88e-11,3.785e-11,25.0,1
3,2.0,1.0,1.0,2.0,4.0,4.0,27.0,27.0,3.712e-11,3.911e-11,3.812e-11,25.0,1
4,2.0,1.0,1.0,2.0,4.0,4.0,29.0,29.0,3.739e-11,3.948e-11,3.843e-11,25.0,1
5,2.0,1.0,1.0,2.0,4.0,4.0,31.0,31.0,3.768e-11,3.986e-11,3.877e-11,25.0,1
6,2.0,1.0,1.0,2.0,6.0,6.0,23.0,23.0,3.668e-11,3.852e-11,3.76e-11,25.0,1
7,2.0,1.0,1.0,2.0,6.0,6.0,25.0,25.0,3.668e-11,3.861e-11,3.765e-11,25.0,1
8,2.0,1.0,1.0,2.0,6.0,6.0,27.0,27.0,3.673e-11,3.873e-11,3.773e-11,25.0,1
9,2.0,1.0,1.0,2.0,6.0,6.0,29.0,29.0,3.683e-11,3.89e-11,3.787e-11,25.0,1
10,2.0,1.0,1.0,2.0,6.0,6.0,31.0,31.0,3.699e-11,3.911e-11,3.805e-11,25.0,1
11,2.0,1.0,1.0,2.0,8.0,8.0,23.0,23.0,3.769e-11,3.963e-11,3.866e-11,25.0,1
12,2.0,1.0,1.0,2.0,8.0,8.0,25.0,25.0,3.758e-11,3.963e-11,3.861e-11,25.0,1
13,2.0,1.0,1.0,2.0,8.0,8.0,27.0,27.0,3.756e-11,3.968e-11,3.862e-11,25.0,1
14,2.0,1.0,1.0,2.0,8.0,8.0,29.0,29.0,3.759e-11,3.977e-11,3.868e-11,25.0,1
15,2.0,1.0,1.0,2.0,8.0,8.0,31.0,31.0,3.765e-11,3.989e-11,3.877e-11,25.0,1
16,2.0,1.0,2.0,4.0,4.0,4.0,23.0,23.0,3.774e-11,4.089e-11,3.931e-11,25.0,1
17,2.0,1.0,2.0,4.0,4.0,4.0,25.0,25.0,3.786e-11,4.116e-11,3.951e-11,25.0,1
18,2.0,1.0,2.0,4.0,4.0,4.0,27.0,27.0,3.806e-11,4.147e-11,3.977e-11,25.0,1
19,2.0,1.0,2.0,4.0,4.0,4.0,29.0,29.0,3.832e-11,4.181e-11,4.007e-11,25.0,1
20,2.0,1.0,2.0,4.0,4.0,4.0,31.0,31.0,3.859e-11,4.221e-11,4.04e-11,25.0,1
21,2.0,1.0,2.0,4.0,6.0,6.0,23.0,23.0,3.669e-11,3.985e-11,3.827e-11,25.0,1
22,2.0,1.0,2.0,4.0,6.0,6.0,25.0,25.0,3.664e-11,3.994e-11,3.829e-11,25.0,1
23,2.0,1.0,2.0,4.0,6.0,6.0,27.0,27.0,3.668e-11,4.005e-11,3.836e-11,25.0,1
24,2.0,1.0,2.0,4.0,6.0,6.0,29.0,29.0,3.675e-11,4.02e-11,3.848e-11,25.0,1
25,2.0,1.0,2.0,4.0,6.0,6.0,31.0,31.0,3.688e-11,4.038e-11,3.863e-11,25.0,1
26,2.0,1.0,2.0,4.0,8.0,8.0,23.0,23.0,3.676e-11,4.001e-11,3.838e-11,25.0,1
27,2.0,1.0,2.0,4.0,8.0,8.0,25.0,25.0,3.663e-11,3.998e-11,3.83e-11,25.0,1
28,2.0,1.0,2.0,4.0,8.0,8.0,27.0,27.0,3.656e-11,4.004e-11,3.83e-11,25.0,1
29,2.0,1.0,2.0,4.0,8.0,8.0,29.0,29.0,3.657e-11,4.009e-11,3.833e-11,25.0,1
30,2.0,1.0,2.0,4.0,8.0,8.0,31.0,31.0,3.66e-11,4.019e-11,3.839e-11,25.0,1
31,3.0,2.0,1.0,2.0,4.0,4.0,23.0,23.0,3.917e-11,3.861e-11,3.889e-11,25.0,1
32,3.0,2.0,1.0,2.0,4.0,4.0,25.0,25.0,3.93e-11,3.891e-11,3.91e-11,25.0,1
33,3.0,2.0,1.0,2.0,4.0,4.0,27.0,27.0,3.951e-11,3.921e-11,3.936e-11,25.0,1
34,3.0,2.0,1.0,2.0,4.0,4.0,29.0,29.0,3.978e-11,3.958e-11,3.968e-11,25.0,1
35,3.0,2.0,1.0,2.0,4.0,4.0,31.0,31.0,4.007e-11,3.996e-11,4.002e-11,25.0,1
36,3.0,2.0,1.0,2.0,6.0,6.0,23.0,23.0,3.905e-11,3.846e-11,3.876e-11,25.0,1
37,3.0,2.0,1.0,2.0,6.0,6.0,25.0,25.0,3.903e-11,3.856e-11,3.879e-11,25.0,1
38,3.0,2.0,1.0,2.0,6.0,6.0,27.0,27.0,3.908e-11,3.869e-11,3.889e-11,25.0,1
39,3.0,2.0,1.0,2.0,6.0,6.0,29.0,29.0,3.92e-11,3.887e-11,3.903e-11,25.0,1
40,3.0,2.0,1.0,2.0,6.0,6.0,31.0,31.0,3.936e-11,3.908e-11,3.922e-11,25.0,1
41,3.0,2.0,1.0,2.0,8.0,8.0,23.0,23.0,4.003e-11,3.951e-11,3.977e-11,25.0,1
42,3.0,2.0,1.0,2.0,8.0,8.0,25.0,25.0,3.992e-11,3.95e-11,3.971e-11,25.0,1
43,3.0,2.0,1.0,2.0,8.0,8.0,27.0,27.0,3.989e-11,3.957e-11,3.973e-11,25.0,1
44,3.0,2.0,1.0,2.0,8.0,8.0,29.0,29.0,3.993e-11,3.966e-11,3.979e-11,25.0,1
45,3.0,2.0,1.0,2.0,8.0,8.0,31.0,31.0,4.001e-11,3.979e-11,3.99e-11,25.0,1
46,3.0,2.0,2.0,4.0,4.0,4.0,23.0,23.0,3.888e-11,3.835e-11,3.861e-11,25.0,1
47,3.0,2.0,2.0,4.0,4.0,4.0,25.0,25.0,3.9e-11,3.866e-11,3.883e-11,25.0,1
48,3.0,2.0,2.0,4.0,4.0,4.0,27.0,27.0,3.919e-11,3.896e-11,3.907e-11,25.0,1
49,3.0,2.0,2.0,4.0,4.0,4.0,29.0,29.0,3.941e-11,3.931e-11,3.936e-11,25.0,1
50,3.0,2.0,2.0,4.0,4.0,4.0,31.0,31.0,3.972e-11,3.969e-11,3.971e-11,25.0,1
51,3.0,2.0,2.0,4.0,6.0,6.0,23.0,23.0,3.777e-11,3.712e-11,3.744e-11,25.0,1
52,3.0,2.0,2.0,4.0,6.0,6.0,25.0,25.0,3.772e-11,3.721e-11,3.746e-11,25.0,1
53,3.0,2.0,2.0,4.0,6.0,6.0,27.0,27.0,3.774e-11,3.733e-11,3.753e-11,25.0,1
54,3.0,2.0,2.0,4.0,6.0,6.0,29.0,29.0,3.782e-11,3.75e-11,3.766e-11,25.0,1
55,3.0,2.0,2.0,4.0,6.0,6.0,31.0,31.0,3.794e-11,3.769e-11,3.781e-11,25.0,1
56,3.0,2.0,2.0,4.0,8.0,8.0,23.0,23.0,3.776e-11,3.711e-11,3.744e-11,25.0,1
57,3.0,2.0,2.0,4.0,8.0,8.0,25.0,25.0,3.762e-11,3.709e-11,3.735e-11,25.0,1
58,3.0,2.0,2.0,4.0,8.0,8.0,27.0,27.0,3.756e-11,3.713e-11,3.735e-11,25.0,1
59,3.0,2.0,2.0,4.0,8.0,8.0,29.0,29.0,3.756e-11,3.721e-11,3.738e-11,25.0,1
60,3.0,2.0,2.0,4.0,8.0,8.0,31.0,31.0,3.758e-11,3.731e-11,3.744e-11,25.0,1
61,4.0,2.0,1.0,2.0,4.0,4.0,23.0,23.0,3.929e-11,4.086e-11,4.007e-11,25.0,1
62,4.0,2.0,1.0,2.0,4.0,4.0,25.0,25.0,3.943e-11,4.112e-11,4.028e-11,25.0,1
63,4.0,2.0,1.0,2.0,4.0,4.0,27.0,27.0,3.964e-11,4.146e-11,4.055e-11,25.0,1
64,4.0,2.0,1.0,2.0,4.0,4.0,29.0,29.0,3.991e-11,4.182e-11,4.086e-11,25.0,1
65,4.0,2.0,1.0,2.0,4.0,4.0,31.0,31.0,4.021e-11,4.22e-11,4.12e-11,25.0,1
66,4.0,2.0,1.0,2.0,6.0,6.0,23.0,23.0,3.918e-11,4.07e-11,3.994e-11,25.0,1
67,4.0,2.0,1.0,2.0,6.0,6.0,25.0,25.0,3.916e-11,4.08e-11,3.998e-11,25.0,1
68,4.0,2.0,1.0,2.0,6.0,6.0,27.0,27.0,3.92e-11,4.094e-11,4.007e-11,25.0,1
69,4.0,2.0,1.0,2.0,6.0,6.0,29.0,29.0,3.932e-11,4.112e-11,4.022e-11,25.0,1
