index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
1,1.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,33.0,33.0,3.647e-11,3.926e-11,3.787e-11,25.0,1
2,1.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,35.0,35.0,3.656e-11,3.942e-11,3.799e-11,25.0,1
3,1.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,37.0,37.0,3.667e-11,3.957e-11,3.812e-11,25.0,1
4,1.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,33.0,33.0,3.681e-11,3.941e-11,3.811e-11,25.0,1
5,1.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,35.0,35.0,3.685e-11,3.949e-11,3.817e-11,25.0,1
6,1.0,1.0,1.0,2.0,2.0,2.0,10.0,10.0,37.0,37.0,3.691e-11,3.961e-11,3.826e-11,25.0,1
7,1.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,33.0,33.0,3.746e-11,3.988e-11,3.867e-11,25.0,1
8,1.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,35.0,35.0,3.746e-11,3.993e-11,3.87e-11,25.0,1
9,1.0,1.0,1.0,2.0,2.0,2.0,12.0,12.0,37.0,37.0,3.75e-11,4.001e-11,3.876e-11,25.0,1
10,1.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,33.0,33.0,3.594e-11,3.893e-11,3.743e-11,25.0,1
11,1.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,35.0,35.0,3.602e-11,3.907e-11,3.754e-11,25.0,1
12,1.0,1.0,1.0,2.0,3.0,3.0,8.0,8.0,37.0,37.0,3.612e-11,3.922e-11,3.767e-11,25.0,1
13,1.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,33.0,33.0,3.587e-11,3.87e-11,3.729e-11,25.0,1
14,1.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,35.0,35.0,3.589e-11,3.878e-11,3.733e-11,25.0,1
15,1.0,1.0,1.0,2.0,3.0,3.0,10.0,10.0,37.0,37.0,3.595e-11,3.888e-11,3.741e-11,25.0,1
16,1.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,33.0,33.0,3.61e-11,3.883e-11,3.746e-11,25.0,1
17,1.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,35.0,35.0,3.609e-11,3.887e-11,3.748e-11,25.0,1
18,1.0,1.0,1.0,2.0,3.0,3.0,12.0,12.0,37.0,37.0,3.611e-11,3.893e-11,3.752e-11,25.0,1
19,1.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,33.0,33.0,3.63e-11,3.935e-11,3.782e-11,25.0,1
20,1.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,35.0,35.0,3.637e-11,3.949e-11,3.793e-11,25.0,1
21,1.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,37.0,37.0,3.647e-11,3.964e-11,3.806e-11,25.0,1
22,1.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,33.0,33.0,3.602e-11,3.895e-11,3.748e-11,25.0,1
23,1.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,35.0,35.0,3.603e-11,3.902e-11,3.752e-11,25.0,1
24,1.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,37.0,37.0,3.608e-11,3.91e-11,3.759e-11,25.0,1
25,1.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,33.0,33.0,3.605e-11,3.888e-11,3.747e-11,25.0,1
26,1.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,35.0,35.0,3.604e-11,3.893e-11,3.748e-11,25.0,1
27,1.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,37.0,37.0,3.605e-11,3.899e-11,3.752e-11,25.0,1
28,1.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,33.0,33.0,4.012e-11,4.484e-11,4.248e-11,25.0,1
29,1.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,35.0,35.0,4.022e-11,4.497e-11,4.26e-11,25.0,1
30,1.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,37.0,37.0,4.033e-11,4.514e-11,4.274e-11,25.0,1
31,1.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,33.0,33.0,4.046e-11,4.496e-11,4.271e-11,25.0,1
32,1.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,35.0,35.0,4.049e-11,4.505e-11,4.277e-11,25.0,1
33,1.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,37.0,37.0,4.056e-11,4.516e-11,4.286e-11,25.0,1
34,1.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,33.0,33.0,4.109e-11,4.542e-11,4.326e-11,25.0,1
35,1.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,35.0,35.0,4.11e-11,4.548e-11,4.329e-11,25.0,1
36,1.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,37.0,37.0,4.113e-11,4.555e-11,4.334e-11,25.0,1
37,1.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,33.0,33.0,3.905e-11,4.4e-11,4.152e-11,25.0,1
38,1.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,35.0,35.0,3.912e-11,4.413e-11,4.163e-11,25.0,1
39,1.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,37.0,37.0,3.922e-11,4.429e-11,4.175e-11,25.0,1
40,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,33.0,33.0,3.895e-11,4.373e-11,4.134e-11,25.0,1
41,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,35.0,35.0,3.896e-11,4.381e-11,4.138e-11,25.0,1
42,1.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,37.0,37.0,3.903e-11,4.39e-11,4.147e-11,25.0,1
43,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,33.0,33.0,3.915e-11,4.38e-11,4.147e-11,25.0,1
44,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,35.0,35.0,3.915e-11,4.384e-11,4.15e-11,25.0,1
45,1.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,37.0,37.0,3.916e-11,4.39e-11,4.153e-11,25.0,1
46,1.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,33.0,33.0,3.891e-11,4.396e-11,4.144e-11,25.0,1
47,1.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,35.0,35.0,3.897e-11,4.41e-11,4.153e-11,25.0,1
