index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
1,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,40.0,40.0,4.127e-11,3.804e-11,3.965e-11,25.0,1
2,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,42.0,42.0,4.131e-11,3.812e-11,3.972e-11,25.0,1
3,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,44.0,44.0,4.137e-11,3.823e-11,3.98e-11,25.0,1
4,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,40.0,40.0,4.137e-11,3.805e-11,3.971e-11,25.0,1
5,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,42.0,42.0,4.141e-11,3.812e-11,3.977e-11,25.0,1
6,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,44.0,44.0,4.146e-11,3.819e-11,3.983e-11,25.0,1
7,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,40.0,40.0,4.163e-11,3.823e-11,3.993e-11,25.0,1
8,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,42.0,42.0,4.163e-11,3.826e-11,3.995e-11,25.0,1
9,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,44.0,44.0,4.165e-11,3.832e-11,3.998e-11,25.0,1
10,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,12.0,12.0,40.0,40.0,4.162e-11,3.86e-11,4.011e-11,25.0,1
11,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,12.0,12.0,42.0,42.0,4.168e-11,3.869e-11,4.019e-11,25.0,1
12,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,12.0,12.0,44.0,44.0,4.174e-11,3.879e-11,4.026e-11,25.0,1
13,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,14.0,14.0,40.0,40.0,4.162e-11,3.852e-11,4.007e-11,25.0,1
14,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,14.0,14.0,42.0,42.0,4.164e-11,3.857e-11,4.011e-11,25.0,1
15,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,14.0,14.0,44.0,44.0,4.169e-11,3.865e-11,4.017e-11,25.0,1
16,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,16.0,16.0,40.0,40.0,4.177e-11,3.858e-11,4.017e-11,25.0,1
17,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,16.0,16.0,42.0,42.0,4.176e-11,3.862e-11,4.019e-11,25.0,1
18,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,16.0,16.0,44.0,44.0,4.178e-11,3.867e-11,4.023e-11,25.0,1
19,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,12.0,12.0,40.0,40.0,4.225e-11,3.94e-11,4.082e-11,25.0,1
20,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,12.0,12.0,42.0,42.0,4.23e-11,3.949e-11,4.089e-11,25.0,1
21,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,12.0,12.0,44.0,44.0,4.235e-11,3.958e-11,4.097e-11,25.0,1
22,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,14.0,14.0,40.0,40.0,4.218e-11,3.925e-11,4.072e-11,25.0,1
23,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,14.0,14.0,42.0,42.0,4.219e-11,3.93e-11,4.075e-11,25.0,1
24,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,14.0,14.0,44.0,44.0,4.223e-11,3.938e-11,4.081e-11,25.0,1
25,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,16.0,16.0,40.0,40.0,4.223e-11,3.924e-11,4.073e-11,25.0,1
26,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,16.0,16.0,42.0,42.0,4.223e-11,3.927e-11,4.075e-11,25.0,1
27,1.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,16.0,16.0,44.0,44.0,4.225e-11,3.932e-11,4.078e-11,25.0,1
28,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,12.0,12.0,40.0,40.0,4.016e-11,3.666e-11,3.841e-11,25.0,1
29,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,12.0,12.0,42.0,42.0,4.023e-11,3.674e-11,3.849e-11,25.0,1
30,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,12.0,12.0,44.0,44.0,4.029e-11,3.685e-11,3.857e-11,25.0,1
31,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,14.0,14.0,40.0,40.0,4.027e-11,3.663e-11,3.845e-11,25.0,1
32,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,14.0,14.0,42.0,42.0,4.031e-11,3.669e-11,3.85e-11,25.0,1
33,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,14.0,14.0,44.0,44.0,4.034e-11,3.676e-11,3.855e-11,25.0,1
34,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,16.0,16.0,40.0,40.0,4.049e-11,3.676e-11,3.863e-11,25.0,1
35,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,16.0,16.0,42.0,42.0,4.05e-11,3.679e-11,3.865e-11,25.0,1
36,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,16.0,16.0,44.0,44.0,4.052e-11,3.685e-11,3.868e-11,25.0,1
37,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,12.0,12.0,40.0,40.0,3.997e-11,3.659e-11,3.828e-11,25.0,1
38,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,12.0,12.0,42.0,42.0,4.001e-11,3.667e-11,3.834e-11,25.0,1
39,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,12.0,12.0,44.0,44.0,4.008e-11,3.678e-11,3.843e-11,25.0,1
40,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,14.0,14.0,40.0,40.0,3.994e-11,3.647e-11,3.82e-11,25.0,1
41,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,14.0,14.0,42.0,42.0,3.997e-11,3.654e-11,3.825e-11,25.0,1
42,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,14.0,14.0,44.0,44.0,4e-11,3.66e-11,3.83e-11,25.0,1
43,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,16.0,16.0,40.0,40.0,4.005e-11,3.648e-11,3.827e-11,25.0,1
44,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,16.0,16.0,42.0,42.0,4.005e-11,3.652e-11,3.829e-11,25.0,1
45,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,16.0,16.0,44.0,44.0,4.008e-11,3.658e-11,3.833e-11,25.0,1
46,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,12.0,12.0,40.0,40.0,4.004e-11,3.676e-11,3.84e-11,25.0,1
47,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,12.0,12.0,42.0,42.0,4.009e-11,3.685e-11,3.847e-11,25.0,1
48,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,12.0,12.0,44.0,44.0,4.014e-11,3.695e-11,3.855e-11,25.0,1
49,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,14.0,14.0,40.0,40.0,3.993e-11,3.656e-11,3.825e-11,25.0,1
50,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,14.0,14.0,42.0,42.0,3.995e-11,3.662e-11,3.828e-11,25.0,1
51,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,14.0,14.0,44.0,44.0,4e-11,3.669e-11,3.834e-11,25.0,1
52,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,16.0,16.0,40.0,40.0,3.996e-11,3.651e-11,3.824e-11,25.0,1
53,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,16.0,16.0,42.0,42.0,3.996e-11,3.655e-11,3.826e-11,25.0,1
54,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,16.0,16.0,44.0,44.0,3.998e-11,3.661e-11,3.829e-11,25.0,1
55,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,12.0,12.0,40.0,40.0,4.066e-11,3.707e-11,3.886e-11,25.0,1
56,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,12.0,12.0,42.0,42.0,4.07e-11,3.716e-11,3.893e-11,25.0,1
57,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,12.0,12.0,44.0,44.0,4.076e-11,3.726e-11,3.901e-11,25.0,1
58,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,14.0,14.0,40.0,40.0,4.073e-11,3.704e-11,3.888e-11,25.0,1
59,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,14.0,14.0,42.0,42.0,4.078e-11,3.71e-11,3.894e-11,25.0,1
60,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,14.0,14.0,44.0,44.0,4.082e-11,3.717e-11,3.9e-11,25.0,1
61,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,16.0,16.0,40.0,40.0,4.096e-11,3.713e-11,3.905e-11,25.0,1
62,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,16.0,16.0,42.0,42.0,4.098e-11,3.719e-11,3.908e-11,25.0,1
63,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,16.0,16.0,44.0,44.0,4.101e-11,3.725e-11,3.913e-11,25.0,1
64,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,12.0,12.0,40.0,40.0,4.026e-11,3.68e-11,3.853e-11,25.0,1
65,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,12.0,12.0,42.0,42.0,4.031e-11,3.69e-11,3.86e-11,25.0,1
66,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,12.0,12.0,44.0,44.0,4.037e-11,3.699e-11,3.868e-11,25.0,1
67,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,14.0,14.0,40.0,40.0,4.022e-11,3.665e-11,3.844e-11,25.0,1
68,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,14.0,14.0,42.0,42.0,4.025e-11,3.672e-11,3.848e-11,25.0,1
69,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,14.0,14.0,44.0,44.0,4.029e-11,3.679e-11,3.854e-11,25.0,1
70,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,16.0,16.0,40.0,40.0,4.032e-11,3.665e-11,3.849e-11,25.0,1
71,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,16.0,16.0,42.0,42.0,4.033e-11,3.67e-11,3.851e-11,25.0,1
72,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,16.0,16.0,44.0,44.0,4.035e-11,3.677e-11,3.856e-11,25.0,1
73,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,12.0,12.0,40.0,40.0,4.013e-11,3.677e-11,3.845e-11,25.0,1
74,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,12.0,12.0,42.0,42.0,4.019e-11,3.686e-11,3.853e-11,25.0,1
75,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,12.0,12.0,44.0,44.0,4.026e-11,3.696e-11,3.861e-11,25.0,1
76,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,14.0,14.0,40.0,40.0,4.002e-11,3.655e-11,3.828e-11,25.0,1
77,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,14.0,14.0,42.0,42.0,4.006e-11,3.66e-11,3.833e-11,25.0,1
78,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,14.0,14.0,44.0,44.0,4.01e-11,3.669e-11,3.839e-11,25.0,1
79,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,16.0,16.0,40.0,40.0,4.004e-11,3.648e-11,3.826e-11,25.0,1
80,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,16.0,16.0,42.0,42.0,4.005e-11,3.653e-11,3.829e-11,25.0,1
81,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,16.0,16.0,44.0,44.0,4.007e-11,3.658e-11,3.832e-11,25.0,1
82,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,40.0,40.0,4.747e-11,4.234e-11,4.491e-11,25.0,1
83,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,42.0,42.0,4.753e-11,4.244e-11,4.498e-11,25.0,1
84,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,44.0,44.0,4.76e-11,4.252e-11,4.506e-11,25.0,1
