index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
1,1.0,1.0,4.0,21.0,4.401e-11,3.388e-11,3.895e-11,25.0,1
2,1.0,1.0,4.0,24.0,4.42e-11,3.423e-11,3.922e-11,25.0,1
3,1.0,1.0,4.0,27.0,4.457e-11,3.471e-11,3.964e-11,25.0,1
4,1.0,1.0,4.0,30.0,4.503e-11,3.525e-11,4.014e-11,25.0,1
5,1.0,1.0,4.0,33.0,4.557e-11,3.583e-11,4.07e-11,25.0,1
6,1.0,1.0,5.0,21.0,4.492e-11,3.37e-11,3.931e-11,25.0,1
7,1.0,1.0,5.0,24.0,4.494e-11,3.389e-11,3.941e-11,25.0,1
8,1.0,1.0,5.0,27.0,4.517e-11,3.418e-11,3.968e-11,25.0,1
9,1.0,1.0,5.0,30.0,4.551e-11,3.456e-11,4.003e-11,25.0,1
10,1.0,1.0,5.0,33.0,4.593e-11,3.5e-11,4.046e-11,25.0,1
11,1.0,1.0,6.0,21.0,4.621e-11,3.394e-11,4.007e-11,25.0,1
12,1.0,1.0,6.0,24.0,4.615e-11,3.403e-11,4.009e-11,25.0,1
13,1.0,1.0,6.0,27.0,4.628e-11,3.422e-11,4.025e-11,25.0,1
14,1.0,1.0,6.0,30.0,4.653e-11,3.45e-11,4.051e-11,25.0,1
15,1.0,1.0,6.0,33.0,4.684e-11,3.483e-11,4.084e-11,25.0,1
16,1.0,1.0,7.0,21.0,4.778e-11,3.444e-11,4.111e-11,25.0,1
17,1.0,1.0,7.0,24.0,4.763e-11,3.443e-11,4.103e-11,25.0,1
18,1.0,1.0,7.0,27.0,4.768e-11,3.456e-11,4.112e-11,25.0,1
19,1.0,1.0,7.0,30.0,4.787e-11,3.476e-11,4.131e-11,25.0,1
20,1.0,1.0,7.0,33.0,4.811e-11,3.502e-11,4.156e-11,25.0,1
21,1.0,1.0,8.0,21.0,4.952e-11,3.509e-11,4.231e-11,25.0,1
22,1.0,1.0,8.0,24.0,4.932e-11,3.503e-11,4.217e-11,25.0,1
23,1.0,1.0,8.0,27.0,4.929e-11,3.509e-11,4.219e-11,25.0,1
24,1.0,1.0,8.0,30.0,4.939e-11,3.525e-11,4.232e-11,25.0,1
25,1.0,1.0,8.0,33.0,4.959e-11,3.545e-11,4.252e-11,25.0,1
26,1.0,2.0,4.0,21.0,4.491e-11,3.473e-11,3.982e-11,25.0,1
27,1.0,2.0,4.0,24.0,4.504e-11,3.506e-11,4.005e-11,25.0,1
28,1.0,2.0,4.0,27.0,4.533e-11,3.55e-11,4.042e-11,25.0,1
29,1.0,2.0,4.0,30.0,4.574e-11,3.606e-11,4.09e-11,25.0,1
30,1.0,2.0,4.0,33.0,4.625e-11,3.664e-11,4.145e-11,25.0,1
31,1.0,2.0,5.0,21.0,4.485e-11,3.406e-11,3.946e-11,25.0,1
