index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
1,1.0,1.0,2.0,8.0,28.0,3.422e-11,4.07e-11,3.746e-11,25.0,1
2,1.0,1.0,2.0,8.0,33.0,3.431e-11,4.095e-11,3.763e-11,25.0,1
3,1.0,1.0,2.0,8.0,38.0,3.458e-11,4.135e-11,3.796e-11,25.0,1
4,1.0,1.0,2.0,11.0,28.0,3.5e-11,4.135e-11,3.817e-11,25.0,1
5,1.0,1.0,2.0,11.0,33.0,3.495e-11,4.141e-11,3.818e-11,25.0,1
6,1.0,1.0,2.0,11.0,38.0,3.503e-11,4.16e-11,3.831e-11,25.0,1
7,1.0,1.0,3.0,8.0,28.0,3.367e-11,4.131e-11,3.749e-11,25.0,1
8,1.0,1.0,3.0,8.0,33.0,3.374e-11,4.155e-11,3.764e-11,25.0,1
9,1.0,1.0,3.0,8.0,38.0,3.397e-11,4.19e-11,3.794e-11,25.0,1
10,1.0,1.0,3.0,11.0,28.0,3.385e-11,4.144e-11,3.765e-11,25.0,1
11,1.0,1.0,3.0,11.0,33.0,3.375e-11,4.147e-11,3.761e-11,25.0,1
12,1.0,1.0,3.0,11.0,38.0,3.381e-11,4.165e-11,3.773e-11,25.0,1
13,1.0,1.0,4.0,8.0,28.0,3.399e-11,4.269e-11,3.834e-11,25.0,1
14,1.0,1.0,4.0,8.0,33.0,3.404e-11,4.29e-11,3.847e-11,25.0,1
15,1.0,1.0,4.0,8.0,38.0,3.427e-11,4.328e-11,3.877e-11,25.0,1
16,1.0,1.0,4.0,11.0,28.0,3.388e-11,4.252e-11,3.82e-11,25.0,1
17,1.0,1.0,4.0,11.0,33.0,3.375e-11,4.257e-11,3.816e-11,25.0,1
18,1.0,1.0,4.0,11.0,38.0,3.379e-11,4.274e-11,3.827e-11,25.0,1
19,1.0,2.0,2.0,8.0,28.0,3.611e-11,4.387e-11,3.999e-11,25.0,1
20,1.0,2.0,2.0,8.0,33.0,3.622e-11,4.412e-11,4.017e-11,25.0,1
21,1.0,2.0,2.0,8.0,38.0,3.646e-11,4.45e-11,4.048e-11,25.0,1
22,1.0,2.0,2.0,11.0,28.0,3.689e-11,4.44e-11,4.065e-11,25.0,1
