index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,6.091e-11,5.192e-11,5.641e-11,25.0,1
2,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,6.094e-11,5.2e-11,5.647e-11,25.0,1
3,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,22.0,22.0,79.0,79.0,6.1e-11,5.209e-11,5.654e-11,25.0,1
4,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,71.0,71.0,6.105e-11,5.201e-11,5.653e-11,25.0,1
5,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,75.0,75.0,6.107e-11,5.207e-11,5.657e-11,25.0,1
6,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,24.0,24.0,79.0,79.0,6.111e-11,5.215e-11,5.663e-11,25.0,1
7,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,71.0,71.0,6.124e-11,5.214e-11,5.669e-11,25.0,1
8,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,75.0,75.0,6.125e-11,5.219e-11,5.672e-11,25.0,1
9,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,26.0,26.0,79.0,79.0,6.128e-11,5.226e-11,5.677e-11,25.0,1
10,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,71.0,71.0,6.136e-11,5.258e-11,5.697e-11,25.0,1
11,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,75.0,75.0,6.139e-11,5.267e-11,5.703e-11,25.0,1
12,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,22.0,22.0,79.0,79.0,6.144e-11,5.275e-11,5.71e-11,25.0,1
13,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,71.0,71.0,6.144e-11,5.262e-11,5.703e-11,25.0,1
14,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,75.0,75.0,6.147e-11,5.268e-11,5.707e-11,25.0,1
15,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,24.0,24.0,79.0,79.0,6.15e-11,5.276e-11,5.713e-11,25.0,1
16,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,26.0,26.0,71.0,71.0,6.158e-11,5.271e-11,5.714e-11,25.0,1
17,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,26.0,26.0,75.0,75.0,6.158e-11,5.275e-11,5.717e-11,25.0,1
