index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,49.0,49.0,6.231e-11,5.199e-11,5.715e-11,25.0,1
2,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,51.0,51.0,6.238e-11,5.212e-11,5.725e-11,25.0,1
3,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,53.0,53.0,6.248e-11,5.225e-11,5.737e-11,25.0,1
4,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,55.0,55.0,6.258e-11,5.241e-11,5.749e-11,25.0,1
5,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,57.0,57.0,6.27e-11,5.257e-11,5.763e-11,25.0,1
6,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,11.0,49.0,49.0,6.373e-11,5.306e-11,5.839e-11,25.0,1
7,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,11.0,51.0,51.0,6.377e-11,5.314e-11,5.846e-11,25.0,1
8,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,11.0,53.0,53.0,6.382e-11,5.325e-11,5.854e-11,25.0,1
9,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,11.0,55.0,55.0,6.389e-11,5.335e-11,5.862e-11,25.0,1
10,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,11.0,57.0,57.0,6.397e-11,5.347e-11,5.872e-11,25.0,1
11,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,49.0,49.0,6.553e-11,5.451e-11,6.002e-11,25.0,1
12,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,51.0,51.0,6.553e-11,5.458e-11,6.006e-11,25.0,1
13,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,53.0,53.0,6.556e-11,5.464e-11,6.01e-11,25.0,1
14,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,55.0,55.0,6.56e-11,5.472e-11,6.016e-11,25.0,1
15,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,57.0,57.0,6.565e-11,5.481e-11,6.023e-11,25.0,1
16,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,9.0,9.0,49.0,49.0,5.736e-11,4.748e-11,5.242e-11,25.0,1
17,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,9.0,9.0,51.0,51.0,5.742e-11,4.759e-11,5.251e-11,25.0,1
18,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,9.0,9.0,53.0,53.0,5.749e-11,4.772e-11,5.261e-11,25.0,1
19,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,9.0,9.0,55.0,55.0,5.758e-11,4.786e-11,5.272e-11,25.0,1
20,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,9.0,9.0,57.0,57.0,5.768e-11,4.801e-11,5.285e-11,25.0,1
21,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,49.0,49.0,5.749e-11,4.742e-11,5.245e-11,25.0,1
22,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,51.0,51.0,5.751e-11,4.749e-11,5.25e-11,25.0,1
23,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,53.0,53.0,5.755e-11,4.758e-11,5.256e-11,25.0,1
24,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,55.0,55.0,5.759e-11,4.767e-11,5.263e-11,25.0,1
25,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,57.0,57.0,5.766e-11,4.778e-11,5.272e-11,25.0,1
26,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,13.0,13.0,49.0,49.0,5.796e-11,4.773e-11,5.285e-11,25.0,1
27,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,13.0,13.0,51.0,51.0,5.796e-11,4.778e-11,5.287e-11,25.0,1
28,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,13.0,13.0,53.0,53.0,5.796e-11,4.783e-11,5.29e-11,25.0,1
29,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,13.0,13.0,55.0,55.0,5.799e-11,4.79e-11,5.295e-11,25.0,1
30,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,13.0,13.0,57.0,57.0,5.803e-11,4.797e-11,5.3e-11,25.0,1
31,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,49.0,49.0,5.665e-11,4.665e-11,5.165e-11,25.0,1
32,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,51.0,51.0,5.671e-11,4.677e-11,5.174e-11,25.0,1
33,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,53.0,53.0,5.677e-11,4.69e-11,5.183e-11,25.0,1
34,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,55.0,55.0,5.685e-11,4.702e-11,5.194e-11,25.0,1
35,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,9.0,9.0,57.0,57.0,5.695e-11,4.717e-11,5.206e-11,25.0,1
36,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,11.0,11.0,49.0,49.0,5.638e-11,4.623e-11,5.13e-11,25.0,1
37,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,11.0,11.0,51.0,51.0,5.638e-11,4.63e-11,5.134e-11,25.0,1
38,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,11.0,11.0,53.0,53.0,5.64e-11,4.638e-11,5.139e-11,25.0,1
39,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,11.0,11.0,55.0,55.0,5.645e-11,4.647e-11,5.146e-11,25.0,1
40,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,11.0,11.0,57.0,57.0,5.65e-11,4.657e-11,5.153e-11,25.0,1
41,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,13.0,13.0,49.0,49.0,5.644e-11,4.618e-11,5.131e-11,25.0,1
42,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,13.0,13.0,51.0,51.0,5.641e-11,4.622e-11,5.132e-11,25.0,1
43,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,13.0,13.0,53.0,53.0,5.641e-11,4.627e-11,5.134e-11,25.0,1
44,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,13.0,13.0,55.0,55.0,5.642e-11,4.633e-11,5.138e-11,25.0,1
45,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,13.0,13.0,57.0,57.0,5.645e-11,4.64e-11,5.142e-11,25.0,1
46,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0,9.0,49.0,49.0,7.617e-11,5.952e-11,6.784e-11,25.0,1
47,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0,9.0,51.0,51.0,7.623e-11,5.965e-11,6.794e-11,25.0,1
48,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0,9.0,53.0,53.0,7.634e-11,5.979e-11,6.807e-11,25.0,1
49,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0,9.0,55.0,55.0,7.644e-11,5.995e-11,6.82e-11,25.0,1
50,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0,9.0,57.0,57.0,7.656e-11,6.01e-11,6.833e-11,25.0,1
51,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,11.0,11.0,49.0,49.0,7.759e-11,6.063e-11,6.911e-11,25.0,1
52,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,11.0,11.0,51.0,51.0,7.763e-11,6.072e-11,6.918e-11,25.0,1
53,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,11.0,11.0,53.0,53.0,7.769e-11,6.082e-11,6.925e-11,25.0,1
54,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,11.0,11.0,55.0,55.0,7.775e-11,6.093e-11,6.934e-11,25.0,1
55,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,11.0,11.0,57.0,57.0,7.784e-11,6.105e-11,6.944e-11,25.0,1
56,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,13.0,13.0,49.0,49.0,7.939e-11,6.21e-11,7.075e-11,25.0,1
57,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,13.0,13.0,51.0,51.0,7.94e-11,6.216e-11,7.078e-11,25.0,1
58,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,13.0,13.0,53.0,53.0,7.943e-11,6.223e-11,7.083e-11,25.0,1
59,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,13.0,13.0,55.0,55.0,7.947e-11,6.231e-11,7.089e-11,25.0,1
60,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,13.0,13.0,57.0,57.0,7.952e-11,6.24e-11,7.096e-11,25.0,1
61,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,9.0,9.0,49.0,49.0,7.058e-11,5.435e-11,6.246e-11,25.0,1
62,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,9.0,9.0,51.0,51.0,7.062e-11,5.446e-11,6.254e-11,25.0,1
63,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,9.0,9.0,53.0,53.0,7.071e-11,5.459e-11,6.265e-11,25.0,1
64,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,9.0,9.0,55.0,55.0,7.079e-11,5.474e-11,6.276e-11,25.0,1
65,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,9.0,9.0,57.0,57.0,7.089e-11,5.488e-11,6.289e-11,25.0,1
66,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,11.0,11.0,49.0,49.0,7.069e-11,5.431e-11,6.25e-11,25.0,1
67,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,11.0,11.0,51.0,51.0,7.071e-11,5.438e-11,6.255e-11,25.0,1
68,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,11.0,11.0,53.0,53.0,7.075e-11,5.446e-11,6.26e-11,25.0,1
69,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,11.0,11.0,55.0,55.0,7.08e-11,5.456e-11,6.268e-11,25.0,1
70,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,11.0,11.0,57.0,57.0,7.086e-11,5.466e-11,6.276e-11,25.0,1
71,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,13.0,13.0,49.0,49.0,7.116e-11,5.463e-11,6.29e-11,25.0,1
72,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,13.0,13.0,51.0,51.0,7.115e-11,5.468e-11,6.292e-11,25.0,1
73,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,13.0,13.0,53.0,53.0,7.116e-11,5.473e-11,6.295e-11,25.0,1
74,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,13.0,13.0,55.0,55.0,7.118e-11,5.48e-11,6.299e-11,25.0,1
75,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,13.0,13.0,57.0,57.0,7.122e-11,5.487e-11,6.305e-11,25.0,1
76,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,9.0,9.0,49.0,49.0,6.932e-11,5.307e-11,6.119e-11,25.0,1
77,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,9.0,9.0,51.0,51.0,6.936e-11,5.318e-11,6.127e-11,25.0,1
78,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,9.0,9.0,53.0,53.0,6.943e-11,5.331e-11,6.137e-11,25.0,1
79,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,9.0,9.0,55.0,55.0,6.951e-11,5.344e-11,6.148e-11,25.0,1
80,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,9.0,9.0,57.0,57.0,6.96e-11,5.359e-11,6.16e-11,25.0,1
