index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
1,3.0,3.0,1.0,2.0,11.0,48.0,6.236e-11,6.878e-11,6.557e-11,25.0,1
2,3.0,3.0,1.0,2.0,11.0,51.0,6.238e-11,6.888e-11,6.563e-11,25.0,1
3,3.0,3.0,1.0,2.0,11.0,54.0,6.244e-11,6.901e-11,6.572e-11,25.0,1
4,3.0,3.0,1.0,2.0,11.0,57.0,6.252e-11,6.915e-11,6.584e-11,25.0,1
5,3.0,3.0,1.0,2.0,11.0,60.0,6.264e-11,6.933e-11,6.599e-11,25.0,1
6,3.0,3.0,1.0,2.0,11.0,63.0,6.277e-11,6.951e-11,6.614e-11,25.0,1
7,3.0,3.0,1.0,2.0,11.0,66.0,6.291e-11,6.969e-11,6.63e-11,25.0,1
8,3.0,3.0,1.0,2.0,13.0,48.0,6.285e-11,6.923e-11,6.604e-11,25.0,1
9,3.0,3.0,1.0,2.0,13.0,51.0,6.283e-11,6.929e-11,6.606e-11,25.0,1
10,3.0,3.0,1.0,2.0,13.0,54.0,6.285e-11,6.937e-11,6.611e-11,25.0,1
11,3.0,3.0,1.0,2.0,13.0,57.0,6.289e-11,6.947e-11,6.618e-11,25.0,1
12,3.0,3.0,1.0,2.0,13.0,60.0,6.297e-11,6.96e-11,6.629e-11,25.0,1
13,3.0,3.0,1.0,2.0,13.0,63.0,6.306e-11,6.974e-11,6.64e-11,25.0,1
14,3.0,3.0,1.0,2.0,13.0,66.0,6.317e-11,6.988e-11,6.653e-11,25.0,1
15,3.0,3.0,1.0,2.0,15.0,48.0,6.354e-11,6.988e-11,6.671e-11,25.0,1
16,3.0,3.0,1.0,2.0,15.0,51.0,6.349e-11,6.99e-11,6.669e-11,25.0,1
17,3.0,3.0,1.0,2.0,15.0,54.0,6.348e-11,6.995e-11,6.672e-11,25.0,1
18,3.0,3.0,1.0,2.0,15.0,57.0,6.35e-11,7.002e-11,6.676e-11,25.0,1
19,3.0,3.0,1.0,2.0,15.0,60.0,6.354e-11,7.012e-11,6.683e-11,25.0,1
20,3.0,3.0,1.0,2.0,15.0,63.0,6.361e-11,7.022e-11,6.692e-11,25.0,1
21,3.0,3.0,1.0,2.0,15.0,66.0,6.369e-11,7.034e-11,6.702e-11,25.0,1
22,3.0,3.0,1.0,3.0,11.0,48.0,6.114e-11,6.936e-11,6.525e-11,25.0,1
23,3.0,3.0,1.0,3.0,11.0,51.0,6.114e-11,6.946e-11,6.53e-11,25.0,1
24,3.0,3.0,1.0,3.0,11.0,54.0,6.119e-11,6.957e-11,6.538e-11,25.0,1
25,3.0,3.0,1.0,3.0,11.0,57.0,6.127e-11,6.97e-11,6.549e-11,25.0,1
26,3.0,3.0,1.0,3.0,11.0,60.0,6.136e-11,6.987e-11,6.561e-11,25.0,1
27,3.0,3.0,1.0,3.0,11.0,63.0,6.149e-11,7.005e-11,6.577e-11,25.0,1
28,3.0,3.0,1.0,3.0,11.0,66.0,6.162e-11,7.022e-11,6.592e-11,25.0,1
29,3.0,3.0,1.0,3.0,13.0,48.0,6.122e-11,6.947e-11,6.534e-11,25.0,1
30,3.0,3.0,1.0,3.0,13.0,51.0,6.118e-11,6.952e-11,6.535e-11,25.0,1
31,3.0,3.0,1.0,3.0,13.0,54.0,6.118e-11,6.959e-11,6.539e-11,25.0,1
32,3.0,3.0,1.0,3.0,13.0,57.0,6.121e-11,6.969e-11,6.545e-11,25.0,1
33,3.0,3.0,1.0,3.0,13.0,60.0,6.128e-11,6.981e-11,6.554e-11,25.0,1
34,3.0,3.0,1.0,3.0,13.0,63.0,6.136e-11,6.994e-11,6.565e-11,25.0,1
35,3.0,3.0,1.0,3.0,13.0,66.0,6.145e-11,7.008e-11,6.577e-11,25.0,1
36,3.0,3.0,1.0,3.0,15.0,48.0,6.149e-11,6.98e-11,6.564e-11,25.0,1
37,3.0,3.0,1.0,3.0,15.0,51.0,6.143e-11,6.981e-11,6.562e-11,25.0,1
38,3.0,3.0,1.0,3.0,15.0,54.0,6.14e-11,6.985e-11,6.562e-11,25.0,1
39,3.0,3.0,1.0,3.0,15.0,57.0,6.14e-11,6.991e-11,6.566e-11,25.0,1
40,3.0,3.0,1.0,3.0,15.0,60.0,6.143e-11,7e-11,6.571e-11,25.0,1
41,3.0,3.0,1.0,3.0,15.0,63.0,6.148e-11,7.009e-11,6.579e-11,25.0,1
42,3.0,3.0,1.0,3.0,15.0,66.0,6.155e-11,7.02e-11,6.587e-11,25.0,1
43,3.0,3.0,1.0,4.0,11.0,48.0,6.114e-11,7.112e-11,6.613e-11,25.0,1
44,3.0,3.0,1.0,4.0,11.0,51.0,6.113e-11,7.121e-11,6.617e-11,25.0,1
45,3.0,3.0,1.0,4.0,11.0,54.0,6.117e-11,7.132e-11,6.624e-11,25.0,1
46,3.0,3.0,1.0,4.0,11.0,57.0,6.124e-11,7.147e-11,6.635e-11,25.0,1
47,3.0,3.0,1.0,4.0,11.0,60.0,6.133e-11,7.162e-11,6.648e-11,25.0,1
48,3.0,3.0,1.0,4.0,11.0,63.0,6.145e-11,7.178e-11,6.662e-11,25.0,1
49,3.0,3.0,1.0,4.0,11.0,66.0,6.158e-11,7.198e-11,6.678e-11,25.0,1
50,3.0,3.0,1.0,4.0,13.0,48.0,6.101e-11,7.104e-11,6.603e-11,25.0,1
51,3.0,3.0,1.0,4.0,13.0,51.0,6.097e-11,7.109e-11,6.603e-11,25.0,1
52,3.0,3.0,1.0,4.0,13.0,54.0,6.096e-11,7.115e-11,6.605e-11,25.0,1
53,3.0,3.0,1.0,4.0,13.0,57.0,6.099e-11,7.125e-11,6.612e-11,25.0,1
54,3.0,3.0,1.0,4.0,13.0,60.0,6.104e-11,7.135e-11,6.619e-11,25.0,1
55,3.0,3.0,1.0,4.0,13.0,63.0,6.111e-11,7.148e-11,6.63e-11,25.0,1
56,3.0,3.0,1.0,4.0,13.0,66.0,6.12e-11,7.161e-11,6.641e-11,25.0,1
57,3.0,3.0,1.0,4.0,15.0,48.0,6.109e-11,7.118e-11,6.614e-11,25.0,1
58,3.0,3.0,1.0,4.0,15.0,51.0,6.101e-11,7.119e-11,6.61e-11,25.0,1
59,3.0,3.0,1.0,4.0,15.0,54.0,6.098e-11,7.122e-11,6.61e-11,25.0,1
60,3.0,3.0,1.0,4.0,15.0,57.0,6.098e-11,7.128e-11,6.613e-11,25.0,1
61,3.0,3.0,1.0,4.0,15.0,60.0,6.099e-11,7.136e-11,6.618e-11,25.0,1
62,3.0,3.0,1.0,4.0,15.0,63.0,6.104e-11,7.144e-11,6.624e-11,25.0,1
63,3.0,3.0,1.0,4.0,15.0,66.0,6.11e-11,7.155e-11,6.633e-11,25.0,1
64,3.0,3.0,2.0,2.0,11.0,48.0,8.571e-11,9.131e-11,8.851e-11,25.0,1
65,3.0,3.0,2.0,2.0,11.0,51.0,8.573e-11,9.143e-11,8.858e-11,25.0,1
66,3.0,3.0,2.0,2.0,11.0,54.0,8.578e-11,9.155e-11,8.867e-11,25.0,1
67,3.0,3.0,2.0,2.0,11.0,57.0,8.588e-11,9.171e-11,8.88e-11,25.0,1
68,3.0,3.0,2.0,2.0,11.0,60.0,8.599e-11,9.187e-11,8.893e-11,25.0,1
69,3.0,3.0,2.0,2.0,11.0,63.0,8.612e-11,9.206e-11,8.909e-11,25.0,1
70,3.0,3.0,2.0,2.0,11.0,66.0,8.627e-11,9.226e-11,8.926e-11,25.0,1
71,3.0,3.0,2.0,2.0,13.0,48.0,8.619e-11,9.171e-11,8.895e-11,25.0,1
72,3.0,3.0,2.0,2.0,13.0,51.0,8.617e-11,9.177e-11,8.897e-11,25.0,1
