index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
1,1.0,1.0,1.0,1.0,6.0,31.0,4.826e-11,5.572e-11,5.199e-11,25.0,1
2,1.0,1.0,1.0,1.0,6.0,34.0,4.805e-11,5.579e-11,5.192e-11,25.0,1
3,1.0,1.0,1.0,1.0,6.0,37.0,4.797e-11,5.596e-11,5.196e-11,25.0,1
4,1.0,1.0,1.0,1.0,6.0,40.0,4.801e-11,5.619e-11,5.21e-11,25.0,1
5,1.0,1.0,1.0,1.0,6.0,43.0,4.813e-11,5.647e-11,5.23e-11,25.0,1
6,1.0,1.0,1.0,1.0,6.0,46.0,4.832e-11,5.678e-11,5.255e-11,25.0,1
7,1.0,1.0,1.0,1.0,6.0,49.0,4.855e-11,5.713e-11,5.284e-11,25.0,1
8,1.0,1.0,1.0,1.0,8.0,31.0,4.925e-11,5.646e-11,5.285e-11,25.0,1
9,1.0,1.0,1.0,1.0,8.0,34.0,4.889e-11,5.639e-11,5.264e-11,25.0,1
10,1.0,1.0,1.0,1.0,8.0,37.0,4.868e-11,5.642e-11,5.255e-11,25.0,1
11,1.0,1.0,1.0,1.0,8.0,40.0,4.86e-11,5.651e-11,5.256e-11,25.0,1
12,1.0,1.0,1.0,1.0,8.0,43.0,4.86e-11,5.666e-11,5.263e-11,25.0,1
13,1.0,1.0,1.0,1.0,8.0,46.0,4.867e-11,5.684e-11,5.276e-11,25.0,1
14,1.0,1.0,1.0,1.0,8.0,49.0,4.879e-11,5.706e-11,5.292e-11,25.0,1
15,1.0,1.0,1.0,1.0,10.0,31.0,5.087e-11,5.783e-11,5.435e-11,25.0,1
16,1.0,1.0,1.0,1.0,10.0,34.0,5.042e-11,5.768e-11,5.405e-11,25.0,1
17,1.0,1.0,1.0,1.0,10.0,37.0,5.013e-11,5.762e-11,5.387e-11,25.0,1
18,1.0,1.0,1.0,1.0,10.0,40.0,4.996e-11,5.763e-11,5.38e-11,25.0,1
19,1.0,1.0,1.0,1.0,10.0,43.0,4.989e-11,5.77e-11,5.379e-11,25.0,1
20,1.0,1.0,1.0,1.0,10.0,46.0,4.989e-11,5.78e-11,5.384e-11,25.0,1
21,1.0,1.0,1.0,1.0,10.0,49.0,4.994e-11,5.793e-11,5.394e-11,25.0,1
22,1.0,1.0,1.0,2.0,6.0,31.0,4.552e-11,5.489e-11,5.02e-11,25.0,1
23,1.0,1.0,1.0,2.0,6.0,34.0,4.526e-11,5.494e-11,5.01e-11,25.0,1
24,1.0,1.0,1.0,2.0,6.0,37.0,4.515e-11,5.509e-11,5.012e-11,25.0,1
25,1.0,1.0,1.0,2.0,6.0,40.0,4.517e-11,5.53e-11,5.024e-11,25.0,1
26,1.0,1.0,1.0,2.0,6.0,43.0,4.526e-11,5.557e-11,5.042e-11,25.0,1
27,1.0,1.0,1.0,2.0,6.0,46.0,4.543e-11,5.587e-11,5.065e-11,25.0,1
28,1.0,1.0,1.0,2.0,6.0,49.0,4.564e-11,5.621e-11,5.093e-11,25.0,1
29,1.0,1.0,1.0,2.0,8.0,31.0,4.523e-11,5.457e-11,4.99e-11,25.0,1
30,1.0,1.0,1.0,2.0,8.0,34.0,4.483e-11,5.447e-11,4.965e-11,25.0,1
31,1.0,1.0,1.0,2.0,8.0,37.0,4.459e-11,5.448e-11,4.953e-11,25.0,1
32,1.0,1.0,1.0,2.0,8.0,40.0,4.446e-11,5.455e-11,4.95e-11,25.0,1
33,1.0,1.0,1.0,2.0,8.0,43.0,4.442e-11,5.466e-11,4.954e-11,25.0,1
34,1.0,1.0,1.0,2.0,8.0,46.0,4.446e-11,5.484e-11,4.965e-11,25.0,1
35,1.0,1.0,1.0,2.0,8.0,49.0,4.455e-11,5.503e-11,4.979e-11,25.0,1
36,1.0,1.0,1.0,2.0,10.0,31.0,4.555e-11,5.49e-11,5.023e-11,25.0,1
37,1.0,1.0,1.0,2.0,10.0,34.0,4.507e-11,5.472e-11,4.99e-11,25.0,1
38,1.0,1.0,1.0,2.0,10.0,37.0,4.475e-11,5.463e-11,4.969e-11,25.0,1
39,1.0,1.0,1.0,2.0,10.0,40.0,4.454e-11,5.462e-11,4.958e-11,25.0,1
40,1.0,1.0,1.0,2.0,10.0,43.0,4.443e-11,5.465e-11,4.954e-11,25.0,1
41,1.0,1.0,1.0,2.0,10.0,46.0,4.44e-11,5.473e-11,4.957e-11,25.0,1
42,1.0,1.0,1.0,2.0,10.0,49.0,4.441e-11,5.485e-11,4.963e-11,25.0,1
43,1.0,1.0,1.0,3.0,6.0,31.0,4.553e-11,5.658e-11,5.106e-11,25.0,1
44,1.0,1.0,1.0,3.0,6.0,34.0,4.526e-11,5.664e-11,5.095e-11,25.0,1
45,1.0,1.0,1.0,3.0,6.0,37.0,4.514e-11,5.679e-11,5.097e-11,25.0,1
46,1.0,1.0,1.0,3.0,6.0,40.0,4.515e-11,5.699e-11,5.107e-11,25.0,1
47,1.0,1.0,1.0,3.0,6.0,43.0,4.525e-11,5.725e-11,5.125e-11,25.0,1
48,1.0,1.0,1.0,3.0,6.0,46.0,4.54e-11,5.756e-11,5.148e-11,25.0,1
