FA_Type,Input,Output,Initial_State,Final_State,Init_A,Init_B,Init_Cin,Final_A,Final_B,Final_Cin,tpLH_ps,tpHL_ps,tp_ps
FA16_delay_tb,A,Sum,000,100,0,0,0,1,0,0,13.43,7.444,10.44
FA16_delay_tb,A,Cout,001,101,0,0,1,1,0,1,7.21,10.53,8.87
FA16_delay_tb,A,Sum,001,101,0,0,1,1,0,1,7.711,11.25,9.482
FA16_delay_tb,A,Cout,010,110,0,1,0,1,1,0,16.69,1.873,9.281
FA16_delay_tb,A,Sum,010,110,0,1,0,1,1,0,21.42,13.73,17.57
FA16_delay_tb,A,Sum,011,111,0,1,1,1,1,1,11.5,20.49,15.99
FA16_delay_tb,B,Sum,000,010,0,0,0,0,1,0,19.09,8.951,14.02
FA16_delay_tb,B,Cout,001,011,0,0,1,0,1,1,15.98,12.16,14.07
FA16_delay_tb,B,Sum,001,011,0,0,1,0,1,1,9.336,17.99,13.66
FA16_delay_tb,B,Cout,100,110,1,0,0,1,1,0,17.24,10.26,13.75
FA16_delay_tb,B,Sum,100,110,1,0,0,1,1,0,15.74,14.3,15.02
FA16_delay_tb,B,Sum,101,111,1,0,1,1,1,1,12.08,13.04,12.56
FA16_delay_tb,Cin,Sum,000,001,0,0,0,0,0,1,1.626,1.623,1.625
FA16_delay_tb,Cin,Cout,010,011,0,1,0,0,1,1,1.794,2.117,1.955
FA16_delay_tb,Cin,Sum,010,011,0,1,0,0,1,1,10.35,7.993,9.169
FA16_delay_tb,Cin,Cout,100,101,1,0,0,1,0,1,1.778,2.13,1.954
FA16_delay_tb,Cin,Sum,100,101,1,0,0,1,0,1,10.5,8.039,9.267
FA16_delay_tb,Cin,Sum,110,111,1,1,0,1,1,1,1.615,1.626,1.621
FA28_delay_tb,A,Sum,000,100,0,0,0,1,0,0,10.24,13.8,12.02
FA28_delay_tb,A,Cout,001,101,0,0,1,1,0,1,11.84,13.67,12.76
FA28_delay_tb,A,Sum,001,101,0,0,1,1,0,1,19.16,18.6,18.88
FA28_delay_tb,A,Cout,010,110,0,1,0,1,1,0,13.01,12.42,12.72
FA28_delay_tb,A,Sum,010,110,0,1,0,1,1,0,19.1,18.29,18.69
FA28_delay_tb,A,Sum,011,111,0,1,1,1,1,1,12.68,10.8,11.74
FA28_delay_tb,B,Sum,000,010,0,0,0,0,1,0,11.06,14.09,12.57
FA28_delay_tb,B,Cout,001,011,0,0,1,0,1,1,11.97,12.83,12.4
FA28_delay_tb,B,Sum,001,011,0,0,1,0,1,1,18.48,17.9,18.19
FA28_delay_tb,B,Cout,100,110,1,0,0,1,1,0,12.0,12.76,12.38
FA28_delay_tb,B,Sum,100,110,1,0,0,1,1,0,18.75,17.47,18.11
FA28_delay_tb,B,Sum,101,111,1,0,1,1,1,1,12.83,11.88,12.35
FA28_delay_tb,Cin,Sum,000,001,0,0,0,0,0,1,9.877,13.99,11.93
FA28_delay_tb,Cin,Cout,010,011,0,1,0,0,1,1,11.79,11.88,11.84
FA28_delay_tb,Cin,Sum,010,011,0,1,0,0,1,1,18.17,17.52,17.85
FA28_delay_tb,Cin,Cout,100,101,1,0,0,1,0,1,11.43,12.35,11.89
FA28_delay_tb,Cin,Sum,100,101,1,0,0,1,0,1,18.13,17.89,18.01
FA28_delay_tb,Cin,Sum,110,111,1,1,0,1,1,1,13.03,10.3,11.67
